StateLong;State;Veteran Population;TotalExpenditures;CompensationAndPension;Construction;EducationAndVocRehab;LoanGuaranty;OperatingExp;InsuranceAndIndemnities;MedicalAndGOE;UniquePatient;Year
Delaware;DE;79028.55;172541.20;83004.56;135.56;6946.23;0.00;2595.04;5542.00;74317.82;;2006
District of Columbia;DC;34803.99;1607045.70;90584.23;180970.83;14404.54;0.00;1187678.99;3242.00;130165.11;;2006
Florida;FL;1747076.40;5321519.49;2590038.39;45873.29;217927.86;0.00;86604.15;162203.19;2218872.61;;2006
Georgia;GA;757070.28;2166806.02;1125116.84;16551.74;157642.10;0.00;66098.05;40987.21;760410.08;;2006
Hawaii;HI;102395.89;316610.80;166623.30;407.41;20157.74;0.00;9350.42;15559.02;104512.91;;2006
Idaho ;ID;131827.04;373809.25;188396.53;347.69;16649.78;0.00;4783.72;7968.02;155663.52;;2006
Illinois;IL;852408.83;2062050.95;698256.94;58818.30;96412.25;0.00;72244.03;73381.25;1062938.18;;2006
Indiana;IN;534032.94;1110928.39;475288.76;11469.69;38591.74;0.00;17249.54;26701.05;541627.62;;2006
Iowa ;IA;254855.17;616823.58;253704.14;406.59;20317.16;0.00;6199.22;21992.91;314203.57;;2006
Kansas ;KS;237563.53;623401.45;275540.23;24.97;28384.29;0.00;9345.56;17554.07;292552.31;;2006
Kentucky;KY;351185.18;1162082.78;574655.19;3190.56;40738.78;0.00;17562.60;17780.98;508154.67;;2006
Louisiana ;LA;356460.84;1043352.48;545688.22;5468.81;38349.68;0.00;21263.38;22361.59;410220.79;;2006
Maine ;ME;139062.71;527028.88;295630.45;111.80;27283.85;0.00;7559.71;9742.00;186701.06;;2006
Maryland ;MD;470722.03;1149240.47;512031.32;2112.74;60907.85;0.00;18122.13;37375.04;518691.39;;2006
Massachusetts ;MA;462082.87;1328518.08;593137.14;6625.38;45721.56;0.00;19467.84;46896.10;616670.06;;2006
Michigan ;MI;804011.38;1547585.48;741514.19;8532.73;63827.97;0.00;30596.85;48604.05;654509.69;;2006
Minnesota  ;MN;410165.99;1161206.25;524063.17;5504.76;38398.29;0.00;40780.17;37133.28;515326.58;;2006
Mississippi ;MS;236337.64;880681.53;385862.11;24835.81;21522.06;0.00;19709.58;12500.02;416251.95;;2006
Missouri  ;MO;538171.67;1436825.94;655122.56;5823.02;57465.01;0.00;57517.82;33927.09;626970.44;;2006
Montana ;MT;100229.70;325636.28;165892.86;4903.19;12365.32;0.00;5894.14;7303.01;129277.76;;2006
Nebraska ;NE;153834.45;529053.90;239684.27;8488.87;21596.24;0.00;11608.97;13322.00;234353.54;;2006
Nevada  ;NV;244294.54;679585.43;301653.45;4655.95;25949.10;0.00;11111.94;12213.01;324001.97;;2006
New Hampshire  ;NH;127433.94;337065.67;156792.67;1293.12;16519.68;0.00;7021.94;9473.98;145964.28;;2006
New Jersey ;NJ;545345.02;1122749.53;520710.16;535.70;63766.24;0.00;12728.60;60710.94;464297.89;;2006
New Mexico;#N/A;175922.69;752210.98;412454.78;1231.49;31387.17;0.00;10623.95;13726.02;282787.57;;2006
New York  ;NY;1094391.01;3323778.86;1204310.77;17718.95;158599.73;0.00;75223.74;114405.12;1753520.55;;2006
North Carolina ;NC;756216.34;2356429.77;1312123.53;6412.44;127548.99;0.00;41042.41;47210.05;822092.35;;2006
North Dakota  ;ND;53047.78;167649.45;82856.73;1251.65;9320.77;0.00;4253.94;4543.00;65423.36;;2006
Ohio;OH;1012466.29;2565459.32;964666.84;31991.37;81088.59;0.00;310051.16;64921.67;1112739.70;;2006
Oklahoma;OK;346706.83;1358000.58;828310.32;5170.15;61933.67;0.00;45459.24;20549.99;396577.20;;2006
Oregon;OR;357319.38;1122844.58;563301.19;7777.66;47204.93;0.00;25403.07;22921.96;456235.77;;2006
Pennsylvania;PA;1088220.20;2606495.01;1106167.36;38321.20;78670.76;0.00;102631.33;91683.11;1189021.24;;2006
Rhode  Island;RI;86327.02;255840.25;122083.35;354.75;6980.14;0.00;6014.43;7310.00;113097.58;;2006
South Carolina;SC;410084.18;1286578.49;686507.82;13453.25;59683.12;0.00;20346.39;25617.95;480969.97;;2006
South Dakota ;SD;70980.87;320569.21;127786.26;-0.84;12206.06;0.00;5809.05;5864.01;168904.67;;2006
Tennessee  ;TN;532104.97;1619176.51;791958.91;16272.68;58806.35;0.00;37167.00;27309.08;687662.49;;2006
Texas;TX;1652213.85;5792022.98;2979768.72;20482.00;302869.16;198590.43;134813.89;104203.28;2051295.51;;2006
Utah;UT;146738.39;403216.30;167750.98;114.46;21164.72;0.00;13334.02;11212.01;189640.10;;2006
Vermont;VT;55670.33;168878.34;68679.87;28.45;19290.96;0.00;2459.22;4109.01;74310.83;;2006
Virginia ;VA;737599.85;1964965.59;1093198.38;6170.06;140405.55;0.00;49641.89;51813.95;623735.77;;2006
Washington;WA;617722.56;1683689.86;980240.89;7195.15;95765.54;0.00;25751.60;39583.02;535153.65;;2006
West Virginia;WV;182284.74;804813.46;350853.06;2784.69;62683.88;0.00;17347.65;9983.01;361161.16;;2006
Wisconsin;WI;457449.66;1196386.45;534292.51;3223.50;39031.64;0.00;27479.25;38322.11;554037.43;;2006
Wyoming;WY;53711.24;184321.14;68172.08;2124.70;5697.41;0.00;1422.05;3295.00;103609.89;;2006
Puerto Rico;#N/A;125194.17;853591.79;443316.23;10412.21;19372.99;0.00;14869.74;0.00;365620.63;;2006
Alabama;AL;416947.04;1534602.96;874876.22;10522.11;58784.70;0.00;22508.30;22535.04;545376.59;97907.00;2007
Alaska;AK;74556.65;244521.70;119804.08;4240.35;11142.02;0.00;3616.73;2499.77;103218.75;13767.00;2007
Arizona                                                                                                                        ;AZ;567631.66;1684703.02;806046.36;11927.30;85654.04;0.00;43628.15;38399.35;699047.82;119252.00;2007
Arkansas                                                                                                                       ;AR;262374.29;1198760.23;573664.46;4240.23;32305.65;0.00;25576.35;15534.03;547439.52;85920.00;2007
