StateLong;State;Veteran Population;TotalExpenditures;CompensationAndPension;Construction;EducationAndVocRehab;LoanGuaranty;OperatingExp;InsuranceAndIndemnities;MedicalAndGOE;UniquePatient;Year
Georgia                                                                                                                     ;GA;772831.74;3126536.21;1638346.50;7304.55;233493.39;0.00;104713.97;49904.58;1092773.21;148603.22;2009
Hawaii                                                                                                                     ;HI;117254.16;413840.99;220837.29;1621.52;22389.98;0.00;13063.03;13408.55;142520.61;19220.31;2009
Idaho                                                                                                               ;ID;137099.49;523392.43;244957.25;13057.46;24709.30;0.00;7073.71;7623.37;225971.34;34384.86;2009
Illinois                                                                                                               ;IL;802834.04;2720362.55;980148.61;26956.11;134689.52;0.00;79122.74;65604.07;1433841.50;170629.74;2009
Indiana                                                                                                               ;IN;500806.36;1627871.23;718700.48;6338.47;56833.79;0.00;29495.72;28126.60;788376.17;116876.51;2009
Iowa                                                                                                              ;IA;240316.78;842055.41;349403.21;962.63;32637.39;0.00;8881.73;19466.53;430703.93;67776.29;2009
Kansas                                                                                                             ;KS;229145.20;859632.58;364027.62;954.25;38554.63;0.00;22082.88;18221.71;415791.49;56445.39;2009
Kentucky                                                                                                             ;KY;339941.80;1633797.23;825210.70;2124.44;54918.58;0.00;26496.68;17349.79;707697.03;94213.71;2009
Louisiana                                                                                                        ;LA;312087.16;1454955.87;732078.95;32818.57;54869.52;0.00;27684.99;20481.60;587022.24;81178.08;2009
Maine                                                                                                       ;ME;140551.95;693774.80;383572.58;4333.06;29128.67;0.00;15363.97;9623.17;251753.36;37647.27;2009
Maryland                                                                                                      ;MD;476201.52;1584010.93;716029.72;7824.41;81935.36;0.00;30756.28;39313.65;708151.52;73885.93;2009
Massachusetts;MA;409183.69;1695609.96;752735.86;4040.18;58772.47;0.00;30537.27;45541.67;803982.51;77777.61;2009
Michigan;MI;723367.80;2224782.73;1076828.69;8202.32;77696.89;0.00;47709.84;45541.71;968803.29;126431.64;2009
Minnesota;MN;390575.98;1678830.01;729214.60;9718.64;68564.96;0.00;71066.54;32448.46;767816.80;99935.19;2009
Mississippi;MS;209241.71;1103143.87;490414.72;49205.12;32807.29;0.00;28680.66;15364.95;486671.14;66248.63;2009
Missouri                                                                                                                       ;MO;514723.90;2051357.11;890644.38;4165.68;72981.55;0.00;105505.10;34370.40;943690.00;125955.43;2009
Montana                                                                                                                        ;MT;102986.23;451635.82;225864.22;2352.46;16774.71;0.00;7240.76;6975.08;192428.59;30352.12;2009
Nebraska                                                                                                                       ;NE;147927.55;763467.67;369853.20;23343.89;33215.96;0.00;22003.81;12021.48;303029.33;43205.67;2009
Nevada                                                                                                                         ;NV;245064.35;1044380.06;405948.30;111649.77;38284.94;0.00;13947.85;12908.41;461640.80;55778.10;2009
New Hampshire                                                                                                                  ;NH;129628.68;446589.02;205365.45;2193.23;21843.33;0.00;8845.35;9001.55;199340.11;25858.17;2009
New Jersey                                                                                                                    ;NJ;463719.84;1437964.09;700166.65;2439.82;80476.45;0.00;18632.54;52772.36;583476.26;76672.13;2009
New Mexico                                                                                                                     ;NM;176565.68;959847.03;512479.85;3453.83;38203.34;0.00;13862.27;12198.17;379649.57;46402.05;2009
New York                                                                                                                      ;NY;988216.80;4234067.86;1563168.07;31398.33;175138.30;0.00;126835.07;99566.86;2237961.23;228452.73;2009
North Carolina                                                                                                                ;NC;770080.23;3421440.04;1883966.56;14780.02;175818.92;0.00;75018.84;50814.98;1221040.72;175560.87;2009
North Dakota                                                                                                                   ;ND;57073.87;230131.48;110353.89;140.93;11610.18;0.00;6379.11;3915.32;97732.05;17372.51;2009
Ohio                                                                                                                           ;OH;913295.56;4376616.17;1343327.47;43892.23;111814.72;0.00;1211478.22;63182.99;1602920.53;198875.94;2009
Oklahoma                                                                                                                      ;OK;329601.34;1869433.54;1128791.03;3203.51;70857.98;0.00;84858.00;19963.63;561759.40;82893.82;2009
Oregon                                                                                                                         ;OR;340019.92;1508594.82;740512.09;10318.67;51921.26;0.00;37755.98;21566.05;646520.77;82591.69;2009
Pennsylvania                                                                                                                   ;PA;995135.36;3508671.05;1483206.97;47829.40;102054.25;0.00;156149.71;81538.62;1637892.10;228606.79;2009
Rhode Island                                                                                                                   ;RI;73957.34;342704.75;151783.31;13236.49;8459.35;0.00;9384.90;6144.83;153695.87;19406.39;2009
South Carolina                                                                                                                 ;SC;408746.81;1889272.64;1021050.68;13491.53;82272.07;0.00;43256.25;27632.42;701569.69;104587.20;2009
South Dakota                                                                                                                   ;SD;72703.51;434343.12;165284.85;1772.75;12980.78;0.00;9178.72;5338.16;239787.87;28828.46;2009
Tennessee                                                                                                                      ;TN;501906.97;2249313.79;1108174.61;14584.66;83925.18;0.00;57775.23;30270.37;954583.74;118822.35;2009
Texas                                                                                                                          ;TX;1701675.45;8116633.17;4188343.28;50006.32;390709.85;328210.96;209729.27;105838.01;2843795.49;383372.67;2009
Utah                                                                                                                           ;UT;155052.46;590464.08;231578.78;3042.37;30647.28;0.00;40137.97;10293.61;274764.07;31153.46;2009
Vermont                                                                                                                        ;VT;53221.70;220228.98;92138.47;2286.13;22478.50;0.00;5358.39;4085.15;93882.35;14193.13;2009
Virginia                                                                                                                       ;VA;819490.47;2890512.31;1577060.79;12962.87;204380.82;0.00;116031.36;62761.10;917315.37;120897.25;2009
Washington                                                                                                                     ;WA;637019.17;2235252.58;1234388.68;29270.74;119510.04;0.00;45480.90;43475.95;763126.27;97210.01;2009
West Virginia                                                                                                                  ;WV;170783.44;1212615.54;475629.03;8474.79;73163.86;0.00;140656.77;8633.60;506057.48;57624.90;2009
Wisconsin                                                                                                                     ;WI;427527.44;1682803.66;744492.50;6694.57;62958.69;0.00;46960.57;32551.41;789145.92;108414.85;2009
Wyoming                                                                                                                        ;WY;56078.60;244959.24;92453.95;0.00;8153.80;0.00;2955.97;3437.36;137958.17;17501.56;2009
Puerto Rico                                                                                                                   ;#N/A;116029.50;1087720.72;539522.83;39394.30;27360.19;0.00;24159.43;2879.74;454404.23;59217.59;2009
Guam;#N/A;8226.62;32597.42;25307.76;0.00;2336.59;0.00;0.00;162.05;4791.01;932.40;2009
Alabama;AL;405624.28;2171214.84;1181450.19;15926.64;130270.75;0.00;36118.73;27449.92;779998.61;101842.00;2010
Alaska;AK;77025.43;359342.31;167393.74;13677.80;35065.17;0.00;6550.27;3183.01;133472.30;15324.00;2010
Arizona                                                                                                                        ;AZ;556728.97;2397241.43;1054437.49;7956.67;229540.08;0.00;98141.89;36992.11;970173.19;125972.00;2010
Arkansas                                                                                                                       ;AR;254663.69;1616787.38;761122.99;30269.44;60853.71;0.00;44347.44;14031.32;706162.49;85624.00;2010
California;CA;1971958.80;9124851.61;3804601.15;136604.18;991204.74;0.00;190349.87;170694.00;3831397.67;405918.00;2010
Colorado                                                                                                                       ;CO;421342.21;1828588.56;904508.55;23453.73;219202.41;0.00;69750.91;30331.14;581341.83;78515.00;2010
Connecticut                                                                                                                      ;CT;229734.41;829125.03;278862.65;2191.15;85896.96;0.00;14254.21;24711.54;423208.52;50193.00;2010
Delaware                                                                                                                     ;DE;78246.80;280266.50;128983.54;5650.01;22850.01;0.00;4609.46;4749.15;113424.34;13896.00;2010
District of Columbia                                                                                                            ;DC;37267.98;1940240.89;64135.24;133978.35;17652.90;0.00;1538075.86;3200.15;183198.39;9413.00;2010
Florida                                                                                                                     ;FL;1650876.36;8041289.20;3668460.11;217585.62;600433.53;0.00;150589.98;140464.91;3263755.06;448858.00;2010
Georgia                                                                                                                     ;GA;773858.37;3481761.34;1722942.87;15943.87;372060.13;0.00;126945.83;49477.45;1194391.19;158032.00;2010
Hawaii                                                                                                                     ;HI;116165.79;537128.32;243813.11;8466.64;82546.03;0.00;14651.99;13650.16;174000.38;20571.00;2010
Idaho                                                                                                               ;ID;136625.34;576366.35;275862.47;1199.25;37356.55;0.00;9018.59;8708.72;244220.78;35883.00;2010
Illinois                                                                                                               ;IL;782746.73;2985040.83;1039464.96;24888.65;250886.38;0.00;87127.18;65340.86;1517332.82;171289.00;2010
Indiana                                                                                                               ;IN;491604.56;1814121.04;777648.13;10277.12;102091.60;0.00;33056.25;26815.44;864232.51;122335.00;2010
Iowa                                                                                                              ;IA;234552.50;891159.48;378656.72;777.31;48308.20;0.00;11165.31;18572.72;433679.22;69128.00;2010
Kansas                                                                                                             ;KS;225090.58;937194.62;393704.83;7041.47;66961.61;0.00;26949.96;16698.24;425838.52;57075.00;2010
Kentucky                                                                                                             ;KY;335670.34;1761191.68;886451.27;3219.93;91568.39;0.00;28308.38;21375.83;730267.89;97776.00;2010
Louisiana                                                                                                        ;LA;304888.74;1585152.05;768086.56;25291.87;86678.14;0.00;28846.33;21346.40;654902.75;83013.00;2010
Maine                                                                                                       ;ME;138550.56;743795.41;410055.81;9871.15;39812.20;0.00;18292.08;9281.72;256482.44;38019.00;2010
Maryland                                                                                                      ;MD;471237.59;1784295.25;754755.22;8238.39;205102.83;0.00;35109.41;38788.18;742301.21;76033.00;2010
Massachusetts;MA;393722.39;1821407.57;775842.19;6969.65;115126.79;0.00;32024.46;42881.83;848562.66;75413.00;2010
Michigan;MI;703970.29;2400006.68;1136034.88;25198.74;138822.41;0.00;52015.62;44507.73;1003427.31;133196.00;2010
Minnesota;MN;381309.29;1832705.22;818979.53;7942.78;120999.11;0.00;81536.27;32051.58;771195.96;106039.00;2010
Mississippi;MS;205643.64;1238167.38;502046.32;103067.04;60241.96;0.00;29104.99;15301.66;528405.41;68008.00;2010
Missouri                                                                                                                       ;MO;505915.75;2288657.78;1005860.88;23742.52;121905.33;0.00;127581.25;32376.74;977191.06;130997.00;2010
Montana                                                                                                                        ;MT;102015.23;505710.40;255238.16;5134.45;26063.94;0.00;8196.47;6914.11;204163.27;31832.00;2010
Nebraska                                                                                                                       ;NE;145236.89;861136.70;433235.12;16116.93;47647.15;0.00;28107.23;11217.96;324812.31;44430.00;2010
Nevada                                                                                                                         ;NV;243866.59;1264736.86;447347.34;200312.62;62505.80;0.00;14542.47;12762.92;527265.70;57869.00;2010
New Hampshire                                                                                                                  ;NH;127964.20;492833.75;212753.14;216.27;40148.94;0.00;9161.38;8377.59;222176.43;26569.00;2010
New Jersey                                                                                                                    ;NJ;443161.21;1555339.48;733454.08;2261.61;152498.52;0.00;19200.19;49776.18;598148.89;77825.00;2010
New Mexico                                                                                                                     ;NM;174687.16;1057364.80;574984.60;2494.46;55579.24;0.00;12880.89;12511.38;398914.23;46962.00;2010
New York                                                                                                                      ;NY;950416.51;4537260.14;1599625.09;41345.16;370899.31;0.00;138299.51;95469.55;2291621.52;230272.00;2010
North Carolina                                                                                                                ;NC;765942.01;3769311.98;2000474.88;20886.62;286043.12;0.00;87666.50;49033.74;1325207.11;181529.00;2010
North Dakota                                                                                                                   ;ND;56309.84;251466.55;122247.39;623.65;16560.78;0.00;6769.73;3620.18;101644.83;17990.00;2010
Ohio                                                                                                                           ;OH;890339.65;5252743.32;1384309.74;83267.72;211169.01;0.00;1752983.02;62179.46;1758834.38;209055.00;2010
Oklahoma                                                                                                                      ;OK;324714.30;2073912.31;1230737.21;3124.64;104659.49;0.00;109894.34;20937.83;604558.80;85828.00;2010
Oregon                                                                                                                         ;OR;333752.20;1701878.35;844587.13;17620.88;87903.50;0.00;39073.41;23257.02;689436.41;87955.00;2010
Pennsylvania                                                                                                                   ;PA;964131.82;3824044.75;1525465.59;100992.47;240643.17;0.00;179176.90;77362.78;1700403.84;237183.00;2010
Rhode Island                                                                                                                   ;RI;71216.30;361652.54;155146.78;8840.67;19526.02;0.00;12046.52;6427.41;159665.13;19655.00;2010
South Carolina                                                                                                                 ;SC;406729.03;2093514.24;1086180.71;14092.46;160208.06;0.00;51111.06;27575.30;754346.65;110090.00;2010
South Dakota                                                                                                                   ;SD;71761.80;455332.80;179339.77;928.29;18372.75;0.00;10243.82;4994.20;241453.97;29291.00;2010
Tennessee                                                                                                                      ;TN;495765.99;2466605.57;1212897.23;10659.35;143209.21;0.00;64399.53;30681.89;1004758.37;124733.00;2010
Texas                                                                                                                          ;TX;1693790.62;9402571.75;4460760.99;62975.15;778237.09;804063.66;206882.24;107169.50;2982483.12;396299.00;2010
Utah                                                                                                                           ;UT;153622.72;675371.39;262496.79;5321.24;54801.26;0.00;48921.76;12930.99;290899.36;31151.00;2010
Vermont                                                                                                                        ;VT;52081.57;239217.16;96157.82;6836.87;28809.58;0.00;5155.46;3799.19;98458.24;14312.00;2010
Virginia                                                                                                                       ;VA;822312.28;3403757.30;1681763.51;14890.83;559581.46;0.00;112950.07;61589.90;972981.54;126889.00;2010
Washington                                                                                                                     ;WA;632209.73;2527971.78;1391228.68;33779.47;232021.27;0.00;52931.50;42313.03;775697.82;103232.00;2010
West Virginia                                                                                                                  ;WV;167182.10;1306462.88;506559.94;44884.99;77151.33;0.00;152118.30;9658.08;516090.24;58311.00;2010
Wisconsin                                                                                                                     ;WI;417653.96;1876976.57;808775.49;30909.54;105741.36;0.00;57209.28;33790.92;840549.97;112788.00;2010
Wyoming                                                                                                                        ;WY;55849.74;262677.78;102431.27;634.57;12106.01;0.00;3143.81;2701.22;141660.91;17855.00;2010
Puerto Rico                                                                                                                   ;#N/A;112699.15;1107563.83;543030.76;19785.72;30360.28;0.00;23685.28;3265.56;487436.23;58349.00;2010
Guam;#N/A;8144.32;40177.13;29231.60;0.00;4229.69;0.00;0.00;942.70;5773.13;;2010
Alabama;AL;400783.94;2436375.95;1397550.47;18410.38;161535.55;0.00;37911.28;27911.72;793056.54;105636.00;2011
Alaska;AK;77350.99;426430.90;214218.47;342.25;49099.81;0.00;6068.89;3705.70;152994.86;15951.00;2011
Arizona                                                                                                                        ;AZ;551262.23;2767974.37;1301540.80;25915.52;308911.78;0.00;86631.32;36337.32;1008637.63;129863.00;2011
Arkansas                                                                                                                       ;AR;251401.65;1741719.70;903240.77;22989.85;68079.58;0.00;38629.03;15341.80;693438.68;86353.00;2011
California;CA;1918073.23;10341410.94;4542309.85;164740.30;1409512.44;0.00;196998.08;166217.77;3861632.48;418775.00;2011
Colorado                                                                                                                       ;CO;417833.77;2180977.07;1146829.92;43882.20;288193.46;0.00;70053.87;33308.46;598709.17;82111.00;2011
Connecticut                                                                                                                      ;CT;221899.05;895362.96;332190.19;955.28;105777.16;0.00;14648.61;25114.70;416677.02;51480.00;2011
Delaware                                                                                                                     ;DE;77220.33;320542.69;157963.36;5904.21;30923.77;0.00;4471.96;6008.78;115270.60;14288.00;2011
District of Columbia                                                                                                            ;DC;36579.42;2242043.15;72700.45;208272.17;23436.69;0.00;1802735.59;3088.90;131809.34;8575.00;2011
Florida                                                                                                                     ;FL;1617248.01;9182577.76;4379157.61;355230.38;769972.23;0.00;163426.64;135354.58;3379436.32;461794.00;2011
Georgia                                                                                                                     ;GA;773337.46;4000168.33;2135191.26;21893.62;455221.79;0.00;127833.06;47891.72;1212136.88;166815.00;2011
Hawaii                                                                                                                     ;HI;114891.79;628743.77;306329.17;2373.39;128522.44;0.00;14268.80;12435.46;164814.51;21320.00;2011
Idaho                                                                                                               ;ID;135911.79;661818.55;335245.23;5190.65;44779.53;0.00;8231.66;9266.75;259104.72;37114.00;2011
Illinois                                                                                                               ;IL;762508.68;3272091.03;1275452.55;28801.99;301341.48;0.00;63680.67;63165.72;1539648.62;175924.00;2011
Indiana                                                                                                               ;IN;482059.03;1982522.00;940185.29;8483.16;124542.62;0.00;38015.79;25143.29;846151.85;123963.00;2011
Iowa                                                                                                              ;IA;228731.42;1013967.02;464928.83;10.22;54502.45;0.00;11603.28;17993.75;464928.50;70173.00;2011
Kansas                                                                                                             ;KS;220909.64;1058684.97;480436.23;4714.62;80676.07;0.00;29752.61;17371.48;445733.96;57563.00;2011
Kentucky                                                                                                             ;KY;331021.70;1995997.73;1077682.04;8318.57;115324.95;0.00;30267.89;18883.35;745520.93;99118.00;2011
Louisiana                                                                                                        ;LA;297657.52;1785970.13;914857.15;49080.81;109376.63;0.00;28348.36;17846.71;666460.48;84724.00;2011
Maine                                                                                                       ;ME;136399.82;834778.05;477990.23;4348.00;45291.76;0.00;19861.65;8030.12;279256.30;38517.00;2011
Maryland                                                                                                      ;MD;465726.87;2023967.25;907285.79;13492.33;286130.11;0.00;31027.10;37919.41;748112.52;76435.00;2011
Massachusetts;MA;378622.14;1980497.37;884801.67;14254.79;153101.95;0.00;39587.97;43486.54;845264.45;80747.00;2011
Michigan;MI;684492.41;2705516.51;1412134.67;8088.74;165647.55;0.00;51915.14;44885.26;1022845.14;137585.00;2011
Minnesota;MN;371932.85;2137370.16;1029515.22;2257.81;144335.04;0.00;85029.19;33454.01;842778.89;109513.00;2011
Mississippi;MS;201925.91;1298810.93;587394.28;71472.07;79979.68;0.00;32071.65;12550.04;515343.21;68819.00;2011
Missouri                                                                                                                       ;MO;496744.63;2595337.04;1215792.02;62610.46;149238.50;0.00;139040.22;33935.98;994719.85;133049.00;2011
Montana                                                                                                                        ;MT;100903.64;580855.61;317673.31;6517.69;28628.75;0.00;8166.45;6388.97;213480.43;33348.00;2011
Nebraska                                                                                                                       ;NE;142442.87;944835.33;510695.72;17287.88;57684.51;0.00;29447.34;13957.36;315762.52;45488.00;2011
Nevada                                                                                                                         ;NV;242205.19;1326240.33;569349.17;112100.74;81287.53;0.00;16479.47;13962.99;533060.43;59643.00;2011
New Hampshire                                                                                                                  ;NH;126111.35;534090.54;249963.60;11.26;52051.35;0.00;7387.15;8381.23;216295.96;27312.00;2011
New Jersey                                                                                                                    ;NJ;423333.98;1713913.16;846171.01;1263.10;195337.72;0.00;17448.11;53875.19;599818.04;77590.00;2011
New Mexico                                                                                                                     ;NM;172594.57;1168156.39;688459.91;5507.23;62983.97;0.00;12834.95;11848.92;386521.41;48020.00;2011
New York                                                                                                                      ;NY;913489.18;4981958.52;1846903.00;87729.47;474458.43;0.00;132186.19;97494.65;2343186.78;230507.00;2011
North Carolina                                                                                                                ;NC;760544.09;4246209.47;2422947.55;13876.83;360492.47;0.00;88174.81;51103.91;1309613.90;190560.00;2011
North Dakota                                                                                                                   ;ND;55470.57;295830.77;151011.95;3973.78;20258.45;0.00;7139.61;4390.32;109056.67;18036.00;2011
Ohio                                                                                                                           ;OH;867239.76;5732613.92;1693703.50;49216.69;257160.59;0.00;1981183.03;62943.29;1688406.82;213872.00;2011
Oklahoma                                                                                                                      ;OK;319528.21;2334303.79;1478415.29;2559.37;119191.07;0.00;115282.53;19370.25;599485.29;86408.00;2011
Oregon                                                                                                                         ;OR;327287.58;1956118.56;1054577.89;14440.97;113552.52;0.00;40951.59;23490.88;709104.71;90719.00;2011
Pennsylvania                                                                                                                   ;PA;933403.62;4096420.06;1776406.61;67270.53;298988.96;0.00;173824.36;81987.13;1697942.48;233142.00;2011
Rhode Island                                                                                                                   ;RI;68551.72;386928.52;175942.90;4028.52;26383.69;0.00;16273.77;5709.74;158589.90;19724.00;2011
South Carolina                                                                                                                 ;SC;403974.60;2406603.25;1328372.76;27705.77;201597.62;0.00;54408.26;28267.28;766251.57;114981.00;2011
South Dakota                                                                                                                   ;SD;70743.13;510997.93;219113.75;211.99;22974.25;0.00;10927.06;5170.29;252600.59;29283.00;2011
Tennessee                                                                                                                      ;TN;489083.03;2770480.18;1454541.69;14851.54;190010.34;0.00;68073.04;30322.84;1012680.73;128902.00;2011
Texas                                                                                                                          ;TX;1683236.92;11331651.85;5426287.92;84374.79;986466.00;1391866.42;228122.27;107458.17;3107076.28;405765.00;2011
Utah                                                                                                                           ;UT;151955.47;778186.60;336781.17;12673.54;67202.64;0.00;49686.86;12206.05;299636.34;32324.00;2011
Vermont                                                                                                                        ;VT;50912.52;259210.62;112409.33;7308.22;31986.89;0.00;4692.02;3816.98;98997.18;14765.00;2011
Virginia                                                                                                                       ;VA;823348.47;3974723.96;2046829.82;8156.99;755870.31;0.00;84827.55;59565.68;1019473.61;131322.00;2011
Washington                                                                                                                     ;WA;626514.85;2896510.64;1651780.38;29067.78;300312.97;0.00;62927.18;39992.06;812430.26;108414.00;2011
West Virginia                                                                                                                  ;WV;163495.53;1431395.53;595011.27;12325.76;79509.44;0.00;185322.98;9102.00;550124.09;58646.00;2011
Wisconsin                                                                                                                     ;WI;407624.34;2120184.49;969694.74;30026.94;134254.70;0.00;60607.24;34886.53;890714.33;115050.00;2011
Wyoming                                                                                                                        ;WY;55510.38;299488.40;126193.21;8745.99;13934.93;0.00;3026.43;2613.60;144974.23;18148.00;2011
Puerto Rico                                                                                                                   ;#N/A;109376.11;1219498.73;616396.08;40159.34;37262.88;0.00;23209.92;2425.30;500045.21;57996.00;2011
Guam;#N/A;8061.24;50114.05;37938.96;0.00;7103.22;0.00;0.00;123.31;4948.57;;2011
Alabama;AL;418034.88;2415559.94;1362005.02;8670.41;174030.93;0.00;35909.55;27826.27;807117.76;106490.00;2012
Alaska;AK;74513.22;410052.14;178264.21;953.10;53711.79;0.00;5961.02;4200.87;166961.16;16704.00;2012
Arizona                                                                                                                        ;AZ;531909.83;2712809.90;1179561.73;22330.09;306312.30;0.00;109262.18;36128.60;1059215.00;132810.00;2012
Arkansas                                                                                                                       ;AR;252279.27;1674467.08;802324.38;24558.68;73422.52;0.00;34796.24;15167.75;724197.52;86814.00;2012
California;CA;1844803.18;10274754.06;4219748.90;121380.59;1393886.82;0.00;181160.66;164330.88;4194246.20;431268.00;2012
Colorado                                                                                                                       ;CO;395612.63;2111996.43;1011091.75;71072.30;284979.94;0.00;65167.23;29157.29;650527.91;85700.00;2012
Connecticut                                                                                                                      ;CT;215316.27;889947.92;309789.67;2777.61;74103.91;0.00;14171.37;24520.45;464584.91;51508.00;2012
Delaware                                                                                                                     ;DE;78687.23;309214.96;145449.97;1292.56;29796.97;0.00;4463.89;5724.77;122486.80;14501.00;2012
District of Columbia                                                                                                            ;DC;31839.44;2099018.02;66819.21;259398.34;22122.46;0.00;1582238.72;3618.49;164820.79;8710.00;2012
Florida                                                                                                                     ;FL;1543496.22;8889429.32;4067029.76;230488.62;782267.46;0.00;155449.51;132383.02;3521810.95;471492.00;2012
Georgia                                                                                                                     ;GA;776204.69;3928850.93;2090187.40;31441.19;388892.37;0.00;109234.52;48953.11;1260142.35;172624.00;2012
Hawaii                                                                                                                     ;HI;116843.73;607053.73;268665.36;1604.70;132201.75;0.00;14112.34;13186.71;177282.87;22169.00;2012
Idaho                                                                                                               ;ID;138319.93;635945.74;287722.64;5144.34;48246.23;0.00;7549.49;7881.51;279401.54;39283.00;2012
Illinois                                                                                                               ;IL;764203.30;3237715.27;1180083.51;30302.57;280997.73;0.00;55509.23;67099.25;1623722.98;178075.00;2012
Indiana                                                                                                               ;IN;498944.36;2001897.53;873834.97;14323.88;131324.82;0.00;44155.97;24295.73;913962.16;126530.00;2012
Iowa                                                                                                              ;IA;238236.41;994001.30;425818.07;15.59;67378.64;0.00;10314.78;18484.42;471989.80;71887.00;2012
Kansas                                                                                                             ;KS;226916.35;1042004.10;458117.63;796.15;87106.89;0.00;26873.51;16196.10;452913.83;58197.00;2012
Kentucky                                                                                                             ;KY;342369.68;1904184.06;946643.19;17728.92;119126.45;0.00;36018.20;19409.98;765257.31;99966.00;2012
Louisiana                                                                                                        ;LA;319349.17;1774088.44;873881.30;74955.16;109907.44;0.00;26676.42;19161.75;669506.38;85943.00;2012
Maine                                                                                                       ;ME;130196.01;776816.59;420454.15;271.85;37663.07;0.00;19618.97;8176.19;290632.37;39400.00;2012
Maryland                                                                                                      ;MD;450400.76;1991532.61;825855.92;14182.44;273253.85;0.00;28640.21;36018.78;813581.41;77720.00;2012
Massachusetts;MA;388538.55;1978765.53;810371.42;27241.28;153620.16;0.00;33944.08;39935.50;913653.09;82303.00;2012
Michigan;MI;680416.61;2768688.92;1391510.41;10062.72;171896.05;0.00;50491.53;43062.96;1101665.26;142260.00;2012
Minnesota;MN;369294.56;1978158.54;863698.16;3139.28;133639.22;0.00;81451.39;31131.82;865098.67;112407.00;2012
Mississippi;MS;227334.65;1276247.41;581098.53;14503.50;78966.53;0.00;29031.53;11741.28;560906.04;69060.00;2012
Missouri                                                                                                                       ;MO;505729.26;2527524.37;1153182.49;23204.10;161336.63;0.00;145834.65;31630.33;1012336.17;135475.00;2012
Montana                                                                                                                        ;MT;102246.48;537303.45;258790.55;34.29;34722.09;0.00;7513.33;7934.72;228308.48;33912.00;2012
Nebraska                                                                                                                       ;NE;141101.83;887640.91;427267.93;13126.71;58707.97;0.00;34294.18;11913.74;342330.39;46798.00;2012
Nevada                                                                                                                         ;NV;228392.80;1295319.14;516006.61;35325.78;85700.91;0.00;14176.05;12824.76;631285.02;61534.00;2012
New Hampshire                                                                                                                  ;NH;113100.93;516990.10;221888.44;379.12;51111.06;0.00;6255.49;8564.48;228791.52;28341.00;2012
New Jersey                                                                                                                    ;NJ;441820.12;1633179.33;774174.36;1808.94;164538.78;0.00;16111.38;47093.18;629452.69;77860.00;2012
New Mexico                                                                                                                     ;NM;172085.09;1129054.75;596324.20;7512.06;63129.53;0.00;16279.11;12451.20;433358.64;49031.00;2012
New York                                                                                                                      ;NY;918092.84;4768842.17;1733092.10;34490.54;414224.05;0.00;126470.67;92740.41;2367824.40;231781.00;2012
North Carolina                                                                                                                ;NC;771654.24;4193637.50;2285260.33;20702.33;344204.87;0.00;93656.04;48884.37;1400929.55;197386.00;2012
North Dakota                                                                                                                   ;ND;56408.07;279238.33;127968.07;6643.33;19458.06;0.00;6741.56;3589.42;114837.90;18160.00;2012
Ohio                                                                                                                           ;OH;899614.85;5805377.38;1583125.50;25262.49;268768.59;0.00;2051086.58;58437.62;1818696.61;218955.00;2012
Oklahoma                                                                                                                      ;OK;342815.93;2215692.68;1331603.52;4315.24;121711.98;0.00;113145.75;18438.96;626477.23;89052.00;2012
Oregon                                                                                                                         ;OR;328137.67;1915326.53;924333.41;27502.30;120664.02;0.00;36215.68;22224.14;784386.96;93529.00;2012
Pennsylvania                                                                                                                   ;PA;980528.96;4075363.91;1720685.04;61840.23;296410.12;0.00;166462.18;75897.63;1754068.71;231875.00;2012
Rhode Island                                                                                                                   ;RI;71457.33;425788.79;167868.86;22647.56;26970.85;0.00;19058.14;6527.12;182716.25;19991.00;2012
South Carolina                                                                                                                 ;SC;421524.87;2402618.95;1301454.86;10670.77;200887.06;0.00;59584.51;28335.22;801686.54;119403.00;2012
South Dakota                                                                                                                   ;SD;75929.89;489296.72;187591.24;1537.15;28302.21;0.00;10484.59;6003.61;255377.92;29749.00;2012
Tennessee                                                                                                                      ;TN;525593.84;2792091.94;1399741.25;13759.99;197153.19;0.00;65267.24;31116.84;1085053.41;131530.00;2012
Texas                                                                                                                          ;TX;1675689.30;11164622.28;4959438.20;66077.23;979946.85;1588711.51;213674.83;107046.98;3249726.69;417639.00;2012
Utah                                                                                                                           ;UT;151785.86;770752.52;295026.52;14065.50;79200.08;0.00;50590.10;10752.83;321117.48;33131.00;2012
Vermont                                                                                                                        ;VT;49904.82;241641.38;105307.00;6916.27;16312.44;0.00;4391.75;3487.73;105226.19;14912.00;2012
Virginia                                                                                                                       ;VA;837050.85;3852374.88;1904164.02;13182.94;744301.85;0.00;67169.96;56249.30;1067306.80;135910.00;2012
Washington                                                                                                                     ;WA;607501.01;2813701.34;1448668.94;50463.21;310748.82;0.00;63013.65;42834.06;897972.67;113997.00;2012
West Virginia                                                                                                                  ;WV;175497.06;1374657.97;566535.50;9547.08;42877.20;0.00;204801.46;10573.01;540323.73;58621.00;2012
Wisconsin                                                                                                                     ;WI;418460.86;2034321.15;861183.88;12940.75;120359.25;0.00;64265.69;33564.25;942007.32;116497.00;2012
Wyoming                                                                                                                        ;WY;56433.52;281753.40;110732.43;3704.89;13228.52;0.00;1621.77;3911.27;148554.52;18336.00;2012
